,Name of movie,Year of release,Watch time,Movie rating
0,One Piece,2023– ,1.,(2023– )
1,Ahsoka,2023– ,2.,(2023– )
2,The Wheel of Time,2021– ,3.,(2021– )
3,One Piece: Wan pîsu,1999– ,4.,(1999– )
4,Aquaman and the Lost Kingdom,2023,5.,(2023)
5,Jawan,2023,6.,(2023)
6,Special Ops: Lioness,2023– ,7.,(2023– )
7,The Equalizer 3,2023,8.,(2023)
8,Game of Thrones,2011–2019,9.,(2011–2019)
9,Who Is Erin Carter?,2023,10.,(2023)
10,Shingeki no Kyojin,2013–2023,11.,(2013–2023)
11,The Boys,2019– ,12.,(2019– )
12,Indiana Jones and the Dial of Destiny,2023,13.,(2023)
13,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,14.,(2023)
14,Spider-Man: Across the Spider-Verse,2023,15.,(2023)
15,The Flash,I) (2023,16.,(I) (2023)
16,Expend4bles,2023,17.,(2023)
17,Sound of Freedom,2023,18.,(2023)
18,The Creator,2023,19.,(2023)
19,The Witcher,2019– ,20.,(2019– )
20,Justified,2010–2015,21.,(2010–2015)
21,The Rookie,2018– ,22.,(2018– )
22,Guardians of the Galaxy Vol. 3,2023,23.,(2023)
23,Gen V,2023– ,24.,(2023– )
24,Monarch: Legacy of Monsters,2023– ,25.,(2023– )
25,Blue Beetle,2023,26.,(2023)
26,Dungeons & Dragons: Honor Among Thieves,2023,27.,(2023)
27,The Mandalorian,2019–2023,28.,(2019–2023)
28,Gran Turismo,2023,29.,(2023)
29,Meg 2: The Trench,2023,30.,(2023)
30,Jujutsu Kaisen,2020– ,31.,(2020– )
31,Star Trek: Strange New Worlds,2022– ,32.,(2022– )
32,Ragnarok,2020–2023,33.,(2020–2023)
33,Jailer,I) (2023,34.,(I) (2023)
34,NCIS: Naval Criminal Investigative Service,2003– ,35.,(2003– )
35,Star Wars Rebels,2014–2018,36.,(2014–2018)
36,Retribution,I) (2023,37.,(I) (2023)
37,The Last of Us,2023– ,38.,(2023– )
38,House of the Dragon,2022– ,39.,(2022– )
39,The Equalizer,2014,40.,(2014)
40,Adventure Time: Fionna & Cake,2023– ,41.,(2023– )
41,Star Wars: The Clone Wars,2008–2020,42.,(2008–2020)
42,Mission: Impossible - Dead Reckoning Part One,2023,43.,(2023)
43,The Batman,2022,44.,(2022)
44,John Wick: Chapter 4,2023,45.,(2023)
45,The Killer,II) (2023,46.,(II) (2023)
46,Fast X,2023,47.,(2023)
47,Vikings,2013–2020,48.,(2013–2020)
48,Moving,2023– ,49.,(2023– )
49,Heart of Stone,I) (2023,50.,(I) (2023)
